State,City,Location,Station Code,Type,Category of ES,No. of mon. days (n),Min,Max,PM10 Annual average (µg/m3),10 percentile,90 percentile,Standard Deviation,Percentage- exceedence(24 hourly),Air Quality
Uttar Pradesh,Meerut,Thana Railway Road / Kesarganj,551,RIRuO,NA,64,101,139,129,124,135,6,100,Critical
Uttar Pradesh,Moradabad,"Hindu College, Station Road",712,RIRuO,NA,103,73,372,188,117,257,58,93,Critical
Uttar Pradesh,Moradabad,"Central Police Hospital, Civil Lines",713,RIRuO,NA,101,45,307,143,90,215,52,82,Critical
Uttar Pradesh,Noida,"UP PPCB, E-12/1, Sector - 1",403,RIRuO,NA,83,73,287,133,116,147,24,100,Critical
Uttar Pradesh,Noida,Gee-Pee Electroplating and Eng. Work,378,RIRuO,NA,79,69,243,139,124,153,20,97,Critical
Uttar Pradesh,Varanasi,"Regional Office, Jawahar Nagar",362,RIRuO,NA,71,103,154,136,8,126,145,100,Critical
Uttar Pradesh,Varanasi,Sigra,553,RIRuO,NA,76,114,160,140,132,152,8,100,Critical
Uttar Pradesh,Unnao,"H. No. 5, Krishna Nagar, Unnao",726,RIRuO,NA,57,56,126,79,63,102,15,16,High
Uttar Pradesh,Unnao,"IIA Building, Industrial Area, Site 10, Unnao",727,RIRuO,NA,56,83,156,116,95,136,16,86,Critical
Uttar Pradesh,Saharanpur,"SRE-A, IIT Roorkee, Saharanpur Campus",716,RIRuO,NA,102,110,715,165,136,169,71,100,Critical
Uttar Pradesh,Saharanpur,"UPCL S.E. Office, Near Clock Tower",717,RIRuO,NA,102,117,723,207,145,249,79,100,Critical
Uttar Pradesh,Raebareli,"Town Hall Colony, Ahmad Nagar, Gulab Road",718,RIRuO,NA,67,76,188,150,90,181,32,87,Critical
Uttar Pradesh,Raebareli,Khoya mandi Tiraha Lucknow Road Raebareli,719,RIRuO,NA,67,84,201,166,101,197,34,93,Critical
Uttar Pradesh,Raebareli,Amawan Road Ind. Area Raebareli,720,RIRuO,NA,67,90,202,173,117,199,33,97,Critical
Uttar Pradesh,Mathura,"RO. UPPCB, 65 Baldevpuri, Maholi Road",724,RIRuO,NA,19,157,266,196,165,235,33,100,Null
Uttar Pradesh,Mathura,"CETP, Industrial Area, Mathura",725,RIRuO,NA,15,176,258,220,179,254,33,100,Null
Uttar Pradesh,Gorakpur,"M. M.M. Engineering College, Gorakhpur",728,RIRuO,NA,73,40,106,88,60,103,18,36,High
Uttar Pradesh,Gorakpur,"India Glycol Ltd. Gida, Gorakhpur",729,RIRuO,NA,88,71,189,147,126,178,27,91,Critical
Uttar Pradesh,Gorakpur,"Jalkal, Muncipal Corporation, Golghar",730,RIRuO,NA,88,84,177,134,104,162,25,91,Critical
Uttarakhand,Dehradun,"Raipur Road, Near parag Diary",90,ES,Doon valley,55,69,804,180,123,228,96,95,Critical
Uttarakhand,Dehradun,"Clock Tower, PWD Guest House",89,ES,Doon valley,61,72,912,186,104,249,108,90,Critical
Uttarakhand,Dehradun,Himalaya Drug Co. Near ISBT,637,ES,Doon valley,52,75,804,197,122,243,110,94,Critical
Uttarakhand,Haldwani,Govt. Women Hospital,625,RIRuO,NA,Null,20,319,137,74,223,58,73,Critical
Uttarakhand,Haridwar,"SIDCUL, Haridwar",635,RIRuO,NA,37,85,259,149,100,212,46,90,Null
Uttarakhand,Kashipur,"BSNL Office, Kashipur",627,RIRuO,NA,Null,25,622,180,71,309,105,77,Critical
Uttarakhand,Rishikesh,Nagar Palika Parishad,636,ES,Hill station,75,84,144,109,92,131,15,64,Critical
Uttarakhand,Rudrapur,SIDCUL Office,626,RIRuO,NA,Null,35,409,158,65,249,72,76,Critical
West Bengal,Asansol,Asansol Municipal Corporation,386,RIRuO,NA,24,39,195,117,55,168,43,63,Null
West Bengal,Asansol,"Kangsabati Spinning Mill, Barjora",593,RIRuO,NA,26,45,204,105,54,154,42,58,Null
West Bengal,Barrackpore,Barrackpore Municiaplity,655,RIRuO,NA,25,40,226,130,62,195,51,76,Null
West Bengal,Durgapur,"Bidhannagar, PCBL Club, Muchipara",385,RIRuO,NA,25,48,188,108,53,150,37,60,Null
West Bengal,Haldia,WBIIDC Ruchi Soya Ind. Durgachak,14,RIRuO,NA,26,67,745,238,86,666,391,85,Null
West Bengal,Howrah,"CDS & Health Centre, Bator",11,RIRuO,NA,26,72,375,186,83,323,92,77,Null
West Bengal,Kolkata,"Salt Lake, Rooftop of CK Market",474,RIRuO,NA,69,21,268,87,41,187,59,25,High
West Bengal,Kolkata,"Moulali, Rooftop of KMC office Building",473,RIRuO,NA,28,56,348,165,67,280,87,71,Null
West Bengal,Kolkata,"Minto Park, Inside Park AJC Bose Road",475,RIRuO,NA,61,25,233,91,37,190,55,30,Critical
West Bengal,Kolkata,"Dunlop Bridge, National Sample Survey",472,RIRuO,NA,80,25,350,138,37,304,99,50,Critical
West Bengal,Kolkata,"Behala Chowrasta, Traffic Guard Building",476,RIRuO,NA,28,51,344,160,65,269,85,71,Null
West Bengal,Kolkata,"Baishnabghata, Upanagari Sporting Club",477,RIRuO,NA,28,39,270,121,43,213,69,43,Null
West Bengal,Kolkata,"Cossipore Police Station, B.T. Road",162,RIRuO,NA,97,17,421,159,48,300,103,61,Critical
West Bengal,Kolkata,"Dalhousie Square, Lal Bazzar Police Headqtr.",163,RIRuO,NA,59,3,611,145,37,278,112,58,Critical
West Bengal,Kolkata,Kasba,348,RIRuO,NA,36,26,332,153,58,238,75,72,Null
West Bengal,Raniganj,Jamuria Municipality,661,RIRuO,NA,24,41,228,126,53,187,50,71,Null
West Bengal,South Suburban,"Bauipur Police Station, Baruipur",650,RIRuO,NA,28,40,276,126,46,224,67,57,Null
West Bengal,South Suburban,"P Roy Industrial Training Institute, Amtala",651,RIRuO,NA,29,41,215,112,51,189,55,52,Null
